page-2,page-3
https://www.allrecipes.com/recipe/206172/mango-lassi-come-home/,https://www.allrecipes.com/recipe/237823/bff-smoothie/
https://www.allrecipes.com/recipe/282856/mango-protein-smoothie/,https://www.allrecipes.com/recipe/236560/very-orange-smoothie-without-oranges/
https://www.allrecipes.com/recipe/255456/mango-chia-smoothie/,https://www.allrecipes.com/recipe/238643/energizing-vegan-mango-banana-chia-smoothie/
https://www.allrecipes.com/recipe/257621/tropical-mangolicious-smoothie/,https://www.allrecipes.com/recipe/261317/acai-rainbow-smoothie-bowl-for-2/
https://www.allrecipes.com/recipe/222061/blueberry-mango-smoothie/,https://www.allrecipes.com/recipe/247304/peachy-mango-cucumber-tea-smoothie/
https://www.allrecipes.com/recipe/264349/my-mango-lassi/,https://www.allrecipes.com/recipe/238995/strawberry-mango-super-smoothie/
https://www.allrecipes.com/recipe/254166/turmeric-mango-smoothie/,https://www.allrecipes.com/recipe/257584/chef-vs-smoothie-bowl/
https://www.allrecipes.com/recipe/270864/the-best-tropical-smoothie/,https://www.allrecipes.com/recipe/238069/summery-afternoon-smoothie/
https://www.allrecipes.com/recipe/233345/coconut-banango-smoothie/,https://www.allrecipes.com/recipe/265876/smoothie-bowl-with-acai/
https://www.allrecipes.com/recipe/259091/spiced-mango-lassi/,https://www.allrecipes.com/recipe/278625/vegan-kale-smoothie/
https://www.allrecipes.com/recipe/241589/mega-mango-smoothie/,https://www.allrecipes.com/recipe/238144/prairie-berry-smoothie/
https://www.allrecipes.com/recipe/256460/superfood-stevia-smoothie/,https://www.allrecipes.com/recipe/244624/holly-goodness-smoothie/
https://www.allrecipes.com/recipe/218556/basil-strawberry-mango-smoothie/,https://www.allrecipes.com/recipe/279174/spiced-mango-protein-smoothie/
https://www.allrecipes.com/recipe/267822/rainbow-smoothie-packs/,https://www.allrecipes.com/recipe/264263/paleo-and-vegan-tropical-acai-bowl-for-two/
https://www.allrecipes.com/recipe/234879/mango-tahini-smoothie/,https://www.allrecipes.com/recipe/270951/pom-spritzer/
https://www.allrecipes.com/recipe/246610/smoothie-bowl-with-mango-and-coconut/,https://www.allrecipes.com/recipe/239222/currant-affairs-smoothie/
https://www.allrecipes.com/recipe/261316/acai-mango-smoothie-bowl/,https://www.allrecipes.com/recipe/276211/vegan-mango-pineapple-smoothie/
https://www.allrecipes.com/recipe/255411/sesame-mango-smoothie/,
https://www.allrecipes.com/recipe/276213/mango-strawberry-smoothie-with-yogurt/,
https://www.allrecipes.com/recipe/280452/spinach-avocado-and-mango-smoothie/,
https://www.allrecipes.com/recipe/232027/vanilla-banamango-smoothie/,
https://www.allrecipes.com/recipe/276212/berry-mango-smoothie-with-yogurt/,
https://www.allrecipes.com/recipe/260102/super-fruit-smoothie/,
https://www.allrecipes.com/recipe/238415/mango-coconut-smoothie/
